name	hdr	cited-pid	twin-path	twin-pid	status	print
ImageList_SetDragCursorImage	include/Commctrl.h	ms909836	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee503586.html	ee503586	twin-diff	ret: hdr='BOOL' twin='BOOL WINAPI'; arg2: hdr='int**' twin='int' | BOOL WINAPI ImageList_SetDragCursorImage(HIMAGELIST, int, int, int)
ImageList_SetIconSize	include/Commctrl.h	ms909837	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee500889.html	ee500889	twin-diff	ret: hdr='BOOL' twin='BOOL WINAPI' | BOOL WINAPI ImageList_SetIconSize(HIMAGELIST, int, int)
ImageList_SetImageCount	include/Commctrl.h	ms909838	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms909839.html	ms909839	twin-diff	arg2: hdr='UINT**' twin='UINT' | BOOL ImageList_SetImageCount(HIMAGELIST, UINT)
ImageList_SetOverlayImage	include/Commctrl.h	ms909839	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee506087.html	ee506087	twin-diff	ret: hdr='BOOL' twin='BOOL WINAPI' | BOOL WINAPI ImageList_SetOverlayImage(HIMAGELIST, int, int)
ImeGetUIClassName	include/Msimeui.h	ms905977	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee490992.html	ee490992	twin-match	 | void ImeGetUIClassName(LPTSTR)
ImmAssociateContext	include/Imm.h	ms905989	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms905984.html	ms905984	twin-match	 | HIMC ImmAssociateContext(HWND, HIMC)
ImmAssociateContextEx	include/Imm.h	ms905984	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms905985.html	ms905985	twin-diff	arg2: hdr='HIMC' twin='HINC' | BOOL ImmAssociateContextEx(HWND, HINC, DWORD)
ImmConfigureIMEW	include/Imm.h	ms906014			no-twin-page	
ImmCreateContext	include/Imm.h	ms906027	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms905987.html	ms905987	twin-match	 | HIMC ImmCreateContext()
ImmDestroyContext	include/Imm.h	ms905987	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms905989.html	ms905989	twin-match	 | BOOL ImmDestroyContext(HIMC)
ImmDestroyIMCC	include/Imm.h	ms905988	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms905990.html	ms905990	twin-match	 | HIMCC WINAPI ImmDestroyIMCC(HIMCC)
ImmDisableIME	include/Imm.h	ms906025	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms905991.html	ms905991	twin-match	 | BOOL ImmDisableIME(DWORD)
ImmEnumRegisterWordW	include/Imm.h	ms906041			no-twin-page	
ImmEscapeW	include/Imm.h	ms905986			no-twin-page	
ImmGenerateMessage	include/Imm.h	ms906022	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms905994.html	ms905994	twin-match	 | BOOL WINAPI ImmGenerateMessage(HIMC)
ImmGetCandidateListCountW	include/Imm.h	ms905995			no-twin-page	
ImmGetCandidateWindow	include/Imm.h	ms905996	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms905997.html	ms905997	twin-match	 | BOOL ImmGetCandidateWindow(HIMC, DWORD, LPCANDIDATEFORM)
ImmGetCompositionFontW	include/Imm.h	ms906032			no-twin-page	
ImmGetCompositionWindow	include/Imm.h	ms906031	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms906002.html	ms906002	twin-match	 | BOOL ImmGetCompositionWindow(HIMC, LPCOMPOSITIONFORM)
ImmGetConversionListW	include/Imm.h	ms906033			no-twin-page	
ImmGetDefaultIMEWnd	include/Imm.h	ms906036	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms906007.html	ms906007	twin-match	 | HWND ImmGetDefaultIMEWnd(HWND)
ImmGetDescriptionW	include/Imm.h	ms906021			no-twin-page	
ImmGetGuideLineW	include/Imm.h	ms906017			no-twin-page	
