# name	page_ids	header	status	note
LogInit	ms886748	Natedit.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
OWAEC_E_	aa513745	IExchangeClient.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
ObjectNotify	aa514415	Ceutil.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
PHONE_BUTTON	ms895909	Tapi.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
PHONE_CLOSE	ms895914	Tapi.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
PHONE_CREATE	ms895917	Tapi.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
PHONE_DEVSPECIFIC	ms895920	Tapi.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
PHONE_REMOVE	ms895947	Tapi.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
PHONE_STATE	ms896240	Tapi.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
RAPIEXT	ms879801	Rapi.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
RDF_CARD_EJECT	ms919721	Smclib.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
RDF_CARD_POWER	ms919724	Smclib.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
RDF_CARD_TRACKING	ms919728	Smclib.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
RDF_IOCTL_VENDOR	ms919732	Smclib.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
RDF_READER_SWALLOW	ms919736	Smclib.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
RDF_SET_PROTOCOL	ms919740	Smclib.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
RDF_TRANSMIT	ms919743	Smclib.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
ReplDialogs	ms861001	Cesync.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
SP_MAX_PRON_LENGTH	ms895608	Sapi.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
SP_MAX_WORD_LENGTH	ms895652	Sapi.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
Uninstall_Init	ms864576	Ce_setup.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
VMS_	ms912596	Voipmanager.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
WSACOMPLETION	ms898732	Winsock2.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
MAX_WAP_ADDRESS_LENGTH	ee497374,ee497695,ee497490	Wap.h	held	no page prints a value, only uses it as an array bound (WAP_ADDRESS.ptsAddress[MAX_WAP_ADDRESS_LENGTH]); R1 check not yet run (held per policy v3 §5); found 2026-09-19, WAP_ADDRESS shipped as an opaque forward declaration in the meantime since every function takes it only by pointer
